"識別id","利用時間","制限時間","手数料","制限事項1","制限事項2","種別","普通車","貨物用有り","二輪車","標章車専用有り"
1,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
2,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,0,0,0
3,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
4,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
5,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
6,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
7,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
8,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
9,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
10,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
13,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
14,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
15,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
17,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
22,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
23,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・チケット,1,1,0,0
26,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
27,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
28,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
29,"09:00-19:00","40","200",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
31,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
32,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
34,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
35,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
37,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
38,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
39,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
40,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,0,0,0
41,"09:00-21:00","60","300",,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
42,"09:00-19:00","60","300",日曜・休日を除く,"１月１日〜３日を除く",パーキング・メーター,1,1,0,0
